Date,Community,Filename,Caller,Chorus,Duration,Duration (B to L) ,Introduction present,Buildup present,Buildup E components,Buildup first half,Buildup second half,Buildup duration,Rate of buildup,Rate of first half,Rate of second half,Acceleration ,Buildup component chosen,Climax present,Climax components,Climax screams,Prop of screams,Durclx,Climax scream chosen,Letdown present,Letdown components,Drumming,Drumming duration,Drum beats,Rate of beats,Beats in climax,Beats after climax,Beats before climax,Non linearities,Time,Context,call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max,call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max,range
9/11/16,Kasekela,KSK030,SN,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Y,NA,NA,NA,NA,CS1,N,0,N,,,,,,,N,8:08,Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK030_SN_CS1.lma,1138.6809,0,no,681,728,1245,634,989,8,254,0.92,-0.03,93,457,681,728,3429,634,1121,1127,681,0.37,0,2301,0.2,0.5,611
9/11/16,Kasekela,KSK032,SN,N,2.23,2.23,NA,Y,3,1,1,0.9,3.333333333,2.222222222,2.222222222,0,BE3,Y,1,1,1,0.95,CS1,Y,1,N,,,,,,,N,8:20,Feed,KSK032_SN_BE3.lma,328.0041,0,no,305,282,423,211,299,6,108,0.86,0,19,128,305,94,329,94,270,282,329,0.23,0.11,235,0.31,0.58,KSK032_SN_CS1.lma,1008.0126,0,no,587,564,1174,540,969,12,136,0.86,0.03,102,527,282,282,4344,282,1019,751,282,0.37,0,3241,0.32,0.57,634
9/11/16,Kasekela,KSK038,SN,Y,7.87,7.87,N,Y,5,2,2,1.4,3.571428571,2.857142857,2.857142857,0,BE5,Y,10,2,0.2,6.47,CS1,N,0,N,,,,,,,N,8:31,Feed,KSK038_SN_BE5.lma,218.6694,0,no,681,399,728,376,501,11,141,0.1,-0.13,55,202,1644,94,1644,94,693,986,1644,0.58,0,963,0.28,0.49,KSK038_SN_CS1.lma,624.0078,0,no,728,634,1245,634,981,7,80,0.27,-0.07,115,480,728,634,1245,634,981,916,634,0.62,1,188,0.19,0.41,611
9/11/16,Kasekela,KSK040,FO,N,11.69,1.16,Y,N,0,0,0,0,0,0,0,0,,Y,1,1,1,1.16,CS1,N,0,N,,,,,,,N,8:42,Resting,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK040_FO_CS1.lma,485.3394,0,no,329,399,916,329,600,11,183,0.87,-0.01,46,338,5190,282,5965,282,1616,658,5190,0.16,0,4579,0.46,0.76,587
7/27/17,Kasekela,KSK049,SN,Y,3.78,3.78,Y,Y,3,1,1,1.9,1.578947368,1.052631579,1.052631579,0,BE2,Y,1,1,1,1.08,CS1,Y,2,N,,,,,,,N,10:09,Feed,KSK049_SN_BE2.lma,349.3377,0,no,470,258,470,258,284,6,141,0,0.01,20,198,470,94,470,94,264,258,470,0.2,0,235,0.28,0.53,KSK049_SN_CS1.lma,1130.6808,0,no,634,611,1292,611,1084,9,357,0.47,0.04,130,676,634,305,4791,282,1586,751,634,0.14,0,3546,0.34,0.5,681
7/27/17,Kasekela,KSK054,FO,N,6.17,3.18,Y,Y,2,1,1,0.99,2.02020202,2.02020202,2.02020202,0,BE1,Y,2,2,1,2.19,CS2,N,0,N,,,,,,,N,10:14,Feed,KSK054_FO_BE1.lma,376.0047,0,no,329,258,399,258,295,4,66,0.81,0,23,103,329,94,352,94,263,305,94,0.65,1,211,0.21,0.51,KSK054_FO_CS2.lma,826.677,0,no,986,611,986,493,744,6,197,0,-0.05,42,436,986,611,986,282,741,751,986,0.49,0,540,0.21,0.5,493
7/27/17,Kasekela,KSK055,SN,N,5.18,5.18,NA,Y,3,1,1,1.98,1.515151515,1.01010101,1.01010101,0,BE2,Y,2,2,1,2.86,CS2,Y,1,N,,,,,,,N,10:15,Feed,KSK055_SN_BE2.lma,416.0052,0,no,258,329,470,258,335,11,108,0.34,0.01,83,139,94,94,446,94,215,235,94,0.65,0.99,352,0.33,0.67,KSK055_SN_CS2.lma,1162.6812,0,no,658,611,1080,587,865,5,197,0.12,-0.01,57,312,658,611,1785,587,880,845,658,0.2,0,892,0.2,0.33,493
7/27/17,Kasekela,KSK056,SN,Y,7.53,7.53,N,Y,5,2,2,2.98,1.677852349,1.342281879,1.342281879,0,BE3,Y,5,3,0.6,4.55,CS2,N,0,N,,,,,,,N,10:17,Feed,KSK056_SN_BE3.lma,386.6715,0,no,258,282,705,258,275,8,315,0.11,0.01,29,440,94,94,352,94,224,258,94,0.6,1,141,0.36,0.66,KSK056_SN_CS2.lma,1376.0172,0,no,798,1033,1127,587,991,8,178,0.35,0,120,385,798,282,3217,282,1006,798,282,0.1,1,2935,0.31,0.67,540
7/27/17,Kasekela,KSK058,FO,N,11.94,2.65,Y,N,0,0,0,0,0,0,0,0,,Y,2,2,1,2.65,CS1,N,0,N,,,,,,,N,10:19,Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK058_FO_CS1.lma,1360.017,0,no,775,728,1057,376,572,13,385,0.58,0.02,116,545,5542,4791,5542,305,732,728,5542,0.79,0,4039,0.51,0.72,681
9/11/16,Kasekela,KSK066,SN,Y,4.84,4.84,NA,Y,4,2,2,2.76,1.449275362,1.449275362,1.449275362,0,BE2,Y,2,2,1,2.07,CS1,N,0,N,,,,,,,N,12:58,,KSK066_SN_BE2.lma,416.0052,0,no,329,258,493,258,280,5,94,0.87,0,23,219,94,94,352,94,261,258,329,0.59,0.01,235,0.3,0.63,KSK066_SN_CS1.lma,1050.6798,0,no,658,916,1292,658,1143,4,132,0.63,0.02,97,389,634,916,1292,634,1142,1080,916,0.19,1,352,0.16,0.33,634
8/16/17,Kasekela,KSK078,SN,Y,4.2,3.26,Y,Y,4,2,2,1.92,2.083333333,2.083333333,2.083333333,0,BE2,Y,1,1,1,1.35,CS1,N,0,N,,,,,,,Y,8:10,Resting,KSK078_SN_BE2.lma,309.3372,0,no,258,258,329,258,299,3,19,0.31,0,24,41,211,94,329,94,277,329,94,0.57,1,188,0.23,0.52,KSK078_SN_CS1.lma,909.3447,0,no,1033,1315,1973,822,1265,24,484,0.21,0.04,114,790,282,376,4039,282,1590,1339,376,0.68,1,2701,0.31,0.4,1151
9/27/16,Kasekela,KSK082_1,FU,Y,3.23,NA,NA,Y,4,2,2,1.58,2.53164557,2.53164557,2.53164557,0,BE2,Y,2,2,1,1.65,CS1,N,0,Y,1.06,4,3.773584906,2,2,0,N,11:32,Resting,KSK082_1_FU_BE2.lma,277.3368,0,no,376,376,376,258,330,5,42,0,0.01,27,63,376,376,376,235,327,305,376,0.24,0,94,0.25,0.43,KSK082_1_FU_CS1.lma,856.0107,0,no,986,1268,1409,728,1241,10,235,0.71,0.05,111,399,986,1268,1409,658,1239,1315,1268,0.49,1,587,0.23,0.37,681
9/27/16,Kasekela,KSK082_2,FU,N,9.02,3.56,Y,Y,4,2,2,1.4,2.857142857,2.857142857,2.857142857,0,BE2,Y,2,2,1,2.15,CS1,N,0,Y,0.38,3,7.894736842,0,0,3,N,11:32,Resting,KSK082_2_FU_BE2.lma,258.6699,0,no,329,305,399,258,327,5,38,0.51,0.03,50,93,329,305,399,235,325,235,329,0.24,0,94,0.23,0.4,KSK082_2_FU_CS1.lma,1061.3466,0,no,728,1245,1620,658,1167,12,366,0.14,0.01,115,491,728,1245,1620,634,1167,1268,728,0.55,0,775,0.19,0.34,962
8/16/17,Kasekela,KSK084,FU,Y,5.28,NA,NA,N,0,0,0,0,0,0,0,0,,Y,8,3,0.375,4.93,CS2,Y,1,N,,,,,,,N,10:28,Resting,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK084_FU_CS2.lma,752.0094,0,no,705,892,1362,705,1242,9,294,0.41,-0.03,119,623,634,892,6763,634,1517,1339,892,0.67,1,5425,0.22,0.38,657
8/17/17,Kasekela,KSK094,FU,Y,4.69,NA,NA,Y,NA,,,,,,,,BE1,Y,3,3,1,2.71,CS2,N,0,N,,,,,,,Y,13:54,Resting,KSK094_FU_BE1.lma,464.0058,0,no,258,446,728,258,480,11,291,0.94,-0.03,45,301,94,916,986,94,819,939,916,0.64,1,493,0.21,0.48,KSK094_FU_CS2.lma,757.3428,0,no,658,540,1151,540,927,12,235,0.25,-0.02,184,449,282,282,2090,282,851,798,282,0.86,0,1057,0.3,0.49,611
8/20/17,Kasekela,KSK096,SL,N,8.09,7.3,Y,Y,13,6,6,6.28,2.070063694,1.910828025,1.910828025,0,BE7,Y,1,1,1,0.35,CS1,Y,1,Y,2.25,7,3.111111111,0,0,7,N,12:09,Travel,KSK096_SL_BE7.lma,330.6708,0,no,188,188,493,188,298,14,94,0.18,-0.06,44,193,117,634,1033,94,625,986,117,0.53,0,728,0.38,0.73,KSK096_SL_CS1.lma,392.0049,0,no,681,775,1104,681,886,8,75,0.38,-0.04,124,278,681,775,1104,681,886,822,681,0.64,0,188,0.25,0.52,423
8/26/17,Kasekela,KSK105,FU,N,5.26,NA,NA,Y,5,2,2,1.63,3.067484663,2.45398773,2.45398773,0,BE3,Y,2,2,1,1.2,CS2,Y,2,Y,0.47,3,6.382978723,0,3,0,D,7:59,Display,KSK105_FU_BE3.lma,285.3369,0,no,282,258,376,211,308,5,42,0.7,0.01,29,85,282,258,376,211,308,282,282,0.19,0,94,0.46,0.63,KSK105_FU_CS2.lma,680.0085,0,no,798,916,1456,705,1209,8,103,0.48,0.05,155,467,798,916,2654,681,1245,1127,916,0.24,1,1432,0.28,0.55,751
8/27/17,Kasekela,KSK116,FU,N,3.39,NA,NA,N,0,0,0,0,,,,,,Y,5,2,0.4,3.39,CS1,N,0,N,,,,,,,N,8:32,Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK116_FU_CS1.lma,773.343,0,no,1010,963,1033,775,958,3,94,0.55,0.02,45,154,1010,963,1033,775,958,939,1010,0.29,0,235,0.2,0.62,258
2/13/17,Kasekela,KSK132,FO,N,5.83,4.92,Y,Y,4,2,2,2.51,1.593625498,1.593625498,1.593625498,0,BE3,Y,3,2,0.666666667,2.41,CS2,N,0,N,,,,,,,D,8:53,Resting,KSK132_FO_BE3.lma,309.3372,0,no,446,399,470,399,445,1,9,0.03,-0.02,9,24,446,845,5706,446,1267,892,845,0.7,1,5237,0.35,0.54,KSK132_FO_CS2.lma,600.0075,0,no,1057,892,1221,892,1150,3,23,0.38,-0.02,58,212,1057,892,7303,892,1865,1174,892,0.21,1,5777,0.59,0.76,329
8/31/17,Kasekela,KSK140,ZS,N,2.36,NA,NA,Y,NA,,,NA,,,,,BE,Y,1,1,1,1.07,CS,Y,1,N,,,,,,,N,10:33,Travel,KSK140_ZS_BE.lma,485.3394,0,no,282,305,681,258,380,10,155,0.07,-0.01,44,276,94,94,7068,94,522,188,939,0.23,0.91,6904,0.59,0.74,KSK140_ZS_CS.lma,1133.3475,0,no,305,305,587,305,495,4,94,0.52,0.01,32,244,282,282,4650,282,903,587,282,0.53,1,4227,0.36,0.72,282
8/31/17,Kasekela,KSK142,ZS,Y,1.95,NA,NA,NA,,,,NA,,,,,,Y,2,2,1,NA,CS,N,0,N,,,,,,,N,11:19,Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK142_ZS_CS.lma,1000.0125,0,no,540,751,1010,423,608,6,188,0.1,-0.01,41,373,540,751,1245,423,915,1174,540,0.35,0,822,0.17,0.34,587
3/2/17,Kasekela,KSK143,FO,Y,14.81,8.89,Y,N,0,0,0,0,0,0,0,0,,Y,5,5,1,6.24,CS2,Y,3,N,,,,,,,Y,7:58,Resting,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSK143_FO_CS2.lma,954.6786,0,no,845,705,1080,564,816,4,207,0.04,0,52,262,845,705,1080,564,816,845,845,0.29,0,517,0.12,0.26,516
